Voyage ID,Year arrived with captives,Total disembarked (IMP),Total embarked (IMP),Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)",Crew at first landing of captives,Crew at voyage outset,Standardized Tonnage (IMP),Sterling cash price in Jamaica (IMP),Percentage of captives who died during crossing (IMP),Percent women,Outcome of voyage if ship captured,Flag of vessel (IMP),Region where vessel's voyage ended (IMP),Rig of Vessel,Place where vessel's voyage ended,Month purchase of captives began,percent men,Month voyage completed,Region of return,Percent boys,Principal region of captive disembarkation (IMP),Principal region of captive purchase,Month vessel departed Africa,Month voyage began,Place where vessel's voyage began (IMP),Month first disembarkation of captives,Broad region of captive disembarkation (IMP),Percent girls,Particular outcome,Principal place where captives were landed (IMP),Percent children,Percent women,Month departed last place of landing,Outcome of voyage for investors,Outcome of voyage for captives,Principal place where captives were purchased,Resistance,Percent male,Percent female,Broad region where voyage began (IMP),Broad region of captive purchase (IMP),voyage_sources,enslavers
26014,1738.0,351.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,0,0.0,0.0,0.0,0,0.0,South Carolina,West Central Africa and St. Helena,0.0,0.0,London,4.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,"West Central Africa and St. Helena, port unspecified",0,0.0,0.0,Europe,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: Thomas, John"
26015,1751.0,59.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,0,0,0,0.0,0.0,0.0,0,0.0,South Carolina,West Central Africa and St. Helena,0.0,0.0,0,9.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,"West Central Africa and St. Helena, port unspecified",0,0.0,0.0,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: Dickenson, Joseph"
26016,1754.0,150.0,169.0,0.0,566.0,0.0,18.0,254.3,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,London,0.0,0.0,11.0,England and Wales,0.0,South Carolina,Senegambia and offshore Atlantic,0.0,10.0,London,5.0,Mainland North America,0.0,Voyage completed as intended,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,Gambia,0,0.0,0.0,Europe,Africa,"  “Papers of Admiralty.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Papers of Admiralty.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: Whitson, William"
26017,1759.0,220.0,257.0,0.0,0.0,23.0,0.0,80.0,0.0,0.0,0.0,Not captured,Great Britain,0,Snauw,0,0.0,0.0,0.0,0,0.0,South Carolina,Sierra Leone,0.0,0.0,0,6.0,Mainland North America,0.0,Returned direct to Africa after bringing slaves to the Americas,Charleston,0.0,0.0,9.0,0,Slaves disembarked in Americas,Sierra Leone estuary,0,0.0,0.0,0,Africa,"  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Investor: Oswald, Robert|Investor: Grant, Nayr|Investor: Sergent, John|Investor: Boyd, Augustus|Captain: Deas, Robert"
26018,1760.0,70.0,84.0,0.0,226.0,7.0,11.0,25.0,0.0,0.0,0.0,Not captured,U.S.A.,South Carolina,Sloop,Poole,0.0,0.0,7.0,England and Wales,0.0,South Carolina,Senegambia and offshore Atlantic,0.0,8.0,Charleston,4.0,Mainland North America,0.0,Voyage completed as intended,Charleston,0.0,0.0,6.0,0,Slaves disembarked in Americas,Gambia,0,0.0,0.0,Mainland North America,Africa,"  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Tattersfield, Nigel, The Forgotten Trade: Comprising the Log of the “Daniel and Henry” of 1700 and Accounts of the Slave Trade from the Minor Ports of England, 1698-1725 (London, 1991)., n.d.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Tattersfield, Nigel, The Forgotten Trade: Comprising the Log of the “Daniel and Henry” of 1700 and Accounts of the Slave Trade from the Minor Ports of England, 1698-1725 (London, 1991)., n.d.","Investor: Jolliffe, William|Investor: Guerard, John|Captain: Cherry, George"
26019,1760.0,160.0,187.0,0.0,164.0,25.0,0.0,100.0,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,Snauw,0,0.0,0.0,0.0,0,0.0,South Carolina,Senegambia and offshore Atlantic,0.0,2.0,Poole,7.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,8.0,0,Slaves disembarked in Americas,Gambia,0,0.0,0.0,Europe,Africa,"  “Bright Family Papers.” Melbourne, AU, n.d. University of Melbourne Archives. https://digitised-collections.unimelb.edu.au/collections/61464f8e-bd2d-56b1-8271-a0fdd2869d0d#:~:text=The%20Bright%20Family%20Papers%20consists,estate%20plans%20and%20inventories%3B%20pedigrees%2C.|  “Records of the Board of Trade and of Successor and Related Bodies.” Kew, UK, n.d. British National Archives.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Tattersfield, Nigel, The Forgotten Trade: Comprising the Log of the “Daniel and Henry” of 1700 and Accounts of the Slave Trade from the Minor Ports of England, 1698-1725 (London, 1991)., n.d.|  “Bright Family Papers.” Melbourne, AU, n.d. University of Melbourne Archives. https://digitised-collections.unimelb.edu.au/collections/61464f8e-bd2d-56b1-8271-a0fdd2869d0d#:~:text=The%20Bright%20Family%20Papers%20consists,estate%20plans%20and%20inventories%3B%20pedigrees%2C.|  “Records of the Board of Trade and of Successor and Related Bodies.” Kew, UK, n.d. British National Archives.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Tattersfield, Nigel, The Forgotten Trade: Comprising the Log of the “Daniel and Henry” of 1700 and Accounts of the Slave Trade from the Minor Ports of England, 1698-1725 (London, 1991)., n.d.","Investor: Jolliffe, William|Investor: Guerard, John|Captain: Miller, Joseph"
26020,1760.0,180.0,210.0,0.0,384.0,15.0,0.0,85.0,0.0,0.0,0.0,Natural hazard,Great Britain,England and Wales,Snauw,0,0.0,0.0,0.0,0,0.0,South Carolina,Sierra Leone,0.0,10.0,Whitehaven,10.0,Mainland North America,0.0,"Shipwrecked or destroyed, after disembarkation",Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,Sierra Leone estuary,0,0.0,0.0,Europe,Africa,"  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Richardson, David, and M. M. Schofield. “Whitehaven and the Eighteenth Century British Slave Trade.” Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society, 2, 92 (1992): 183–204. https://archaeologydataservice.ac.uk/library/browse/details.xhtml?recordId=3198318&recordType=Journal.|  Schofield, Maurice M., Notes on Liverpool Slave Ships between 1774 and 1778, Currently Held by David Richardson (University of Hull)., n.d.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Richardson, David, and M. M. Schofield. “Whitehaven and the Eighteenth Century British Slave Trade.” Transactions of the Cumberland and Westmorland Antiquarian and Archaeological Society, 2, 92 (1992): 183–204. https://archaeologydataservice.ac.uk/library/browse/details.xhtml?recordId=3198318&recordType=Journal.|  Schofield, Maurice M., Notes on Liverpool Slave Ships between 1774 and 1778, Currently Held by David Richardson (University of Hull)., n.d.","Investor: Kelsick, Jno|Investor: Fletcher, Edwd|Investor: Hartleys|Captain: Kennedy, John|Investor: Kennedy, John|Investor: Hartley, Thomas|Investor: Hall|Investor: Griffith|Investor: Fletcher, William|Investor: Gale, R|Investor: Waken, T|Investor: Peper, William|Investor: White, Joseph|Investor: Frower, Elizabeth"
26021,1761.0,208.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,0,0,0,0.0,0.0,0.0,0,0.0,South Carolina,Other Africa,0.0,0.0,0,1.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,"Africa, port unspecified",0,0.0,0.0,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: Lyell, Lorraine"
26022,1761.0,300.0,352.0,0.0,298.0,0.0,30.0,150.0,0.0,0.0,0.0,French,U.S.A.,South Carolina,Ship,0,0.0,0.0,0.0,0,0.0,South Carolina,Sierra Leone,0.0,8.0,Charleston,5.0,Mainland North America,0.0,Captured by the French - after slaves disembarked,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,Sierra Leone estuary,0,0.0,0.0,Mainland North America,Africa,"  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Investor: Grant, Alex|Investor: Boyd, Aug|Investor: Boyd, Jno|Investor: Sargent, Jno|Investor: Oswald, Rd|Investor: Mill, Jno|Captain: Stephens, John"
26023,1761.0,204.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,0,0,0,0.0,0.0,0.0,0,0.0,South Carolina,Sierra Leone,0.0,0.0,0,9.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,Sierra Leone estuary,0,0.0,0.0,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.",Captain: Taylor
26024,1761.0,351.0,386.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,0,0.0,0.0,0.0,0,0.0,South Carolina,West Central Africa and St. Helena,0.0,1.0,Cowes,11.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,"West Central Africa and St. Helena, port unspecified",0,0.0,0.0,Europe,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: Dwight, Joseph"
26026,1764.0,208.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,0,0,0,0.0,0.0,0.0,0,0.0,South Carolina,Other Africa,0.0,0.0,0,11.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,"Africa, port unspecified",0,0.0,0.0,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Investor: Parsons, Abram"
26027,1765.0,400.0,440.0,0.0,0.0,0.0,30.0,343.1,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,0,0.0,0.0,0.0,0,0.0,South Carolina,West Central Africa and St. Helena,0.0,0.0,Liverpool,4.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,"West Central Africa and St. Helena, port unspecified",0,0.0,0.0,Europe,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Lloyd’s Register of Shipping, 1764, 1768, 1776, 1778-84, 1786-1787, 1789-1808. London, UK, n.d.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Lloyd’s Register of Shipping, 1764, 1768, 1776, 1778-84, 1786-1787, 1789-1808. London, UK, n.d.","Investor: Clemens|Captain: McDaniel, Daniel"
26028,1765.0,100.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,0,0,0,0.0,0.0,0.0,0,0.0,South Carolina,West Central Africa and St. Helena,0.0,0.0,0,4.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,"West Central Africa and St. Helena, port unspecified",0,0.0,0.0,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: Williams, Ed"
26029,1765.0,150.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,0,0,Cowes,0.0,0.0,6.0,England and Wales,0.0,South Carolina,West Central Africa and St. Helena,0.0,0.0,0,4.0,Mainland North America,0.0,Voyage completed as intended,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,"West Central Africa and St. Helena, port unspecified",0,0.0,0.0,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: Barwick, Geo"
26031,1769.0,94.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural hazard,Great Britain,0,0,0,0.0,0.41489,0.0,0,0.15957,South Carolina,Sierra Leone,0.0,0.0,0,7.0,Mainland North America,0.17021,"Shipwrecked or destroyed, after disembarkation",Charleston,0.32979,0.25532,0.0,0,Slaves disembarked in Americas,Sierra Leone estuary,0,0.57447,0.42552999999999996,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: Bare, Francis"
26032,1771.0,105.0,122.0,0.0,0.0,0.0,0.0,0.0,47.25,0.0,0.0,Not captured,Great Britain,0,0,0,0.0,0.0,0.0,0,0.0,South Carolina,Gold Coast,0.0,0.0,0,4.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,"Gold Coast, port unspecified",0,0.0,0.0,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: Wooster, John"
26033,1772.0,98.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,0,0,0,0.0,0.0,0.0,0,0.0,South Carolina,Windward Coast,0.0,0.0,0,6.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,"Windward Coast, place unspecified",0,0.0,0.0,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: Steel, Benj"
26034,1772.0,200.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,0,0,0,0.0,0.0,0.0,0,0.0,South Carolina,Senegambia and offshore Atlantic,0.0,0.0,0,8.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,Gambia,0,0.0,0.0,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: Gibbs, Solomon"
26035,1772.0,120.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,0,0,0,0.0,0.0,0.0,0,0.0,South Carolina,Gold Coast,0.0,0.0,0,10.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,"Gold Coast, port unspecified",0,0.0,0.0,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: Newbold, Thomas"
26038,1773.0,318.0,353.0,0.0,0.0,0.0,0.0,0.0,50.99,0.0,0.0,Not captured,Great Britain,0,0,0,0.0,0.0,0.0,0,0.0,South Carolina,Sierra Leone,0.0,0.0,0,2.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,Sierra Leone estuary,0,0.0,0.0,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: White, And"
26041,1773.0,140.0,165.0,0.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,New Hampshire,0,0,0.0,0.0,0.0,0,0.0,South Carolina,Gold Coast,0.0,7.0,Portsmouth (NH),5.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,"Gold Coast, port unspecified",0,0.0,0.0,Mainland North America,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Lauritsen, Eric C. “The Untold Story of New Hampshire and the Transatlantic Slave Trade, 1700-1800.” BA Honors Thesis, Dartmouth College, 2009.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Lauritsen, Eric C. “The Untold Story of New Hampshire and the Transatlantic Slave Trade, 1700-1800.” BA Honors Thesis, Dartmouth College, 2009.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Captain: MacKenzie, Jr., Andrew|Investor: MacKenzie, Jr., Andrew"
26043,1773.0,86.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,0,0,0,0.0,0.0,0.0,0,0.0,South Carolina,Sierra Leone,0.0,0.0,0,7.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,Sierra Leone estuary,0,0.0,0.0,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: Montany, Jos"
26052,1774.0,36.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Great Britain,0,0,0,0.0,0.0,0.0,0,0.0,South Carolina,Sierra Leone,9.0,0.0,0,10.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,Iles de Los,0,0.0,0.0,0,Africa,"  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.","Captain: Grinnell, Richard"
